PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.246067, 25000.000000, 250.000000, 159.881443 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-30.154000, 785.311310, 0.001065 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
FuselageGeom,337.573330, 27.179534, 4.673858,1.217009, Hoerner Streamlined Body,22504358.017271, 0.000000,0.002646, 1.000000,1.087193, 0.006800, 5.492404 
PropGeom,9.475053, 0.726551, 0.499835,5.744725, Hoerner,601576.293071, 0.000000,0.004925, 1.000000,0.268056, 0.001677, 1.354197 
[B] Cone,1.363234, 0.700950, 0.820033,15.714125, Hoerner Streamlined Body,580378.955179, 0.000000,0.004959, 1.000000,0.106233, 0.000664, 0.536681 
WingGeom,308.153809, 4.489534, 0.149756,1.329689, Hoerner,3717285.578684, 0.000000,0.003537, 1.000000,1.449345, 0.009065, 7.321966 
WingGeom,93.020656, 3.826157, 0.119856,1.252094, Hoerner,3168015.922695, 0.000000,0.003635, 1.000000,0.423424, 0.002648, 2.139101 
WingGeom,35.351274, 3.699462, 0.099918,1.205817, Hoerner,3063114.166992, 0.000000,0.003657, 1.000000,0.155872, 0.000975, 0.787453 
BORGeom,18.649175, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.445602, 0.034060, 27.510711 
BORGeom,18.361283, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.361537, 0.033534, 27.086020 
BORGeom,18.206384, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.316306, 0.033252, 26.857517 
[B] Box,12.137339, 5.375642, 6.491772,1.116274, Hoerner Streamlined Body,4450972.671252, 0.000000,0.003431, 1.000000,0.046482, 0.000291, 0.234824 
[B] Box,12.046608, 4.485375, 5.418757,1.162911, Hoerner Streamlined Body,3713841.580832, 0.000000,0.003538, 1.000000,0.049560, 0.000310, 0.250374 
[B] Box,2.287296, 2.250850, 3.281586,1.450411, Hoerner Streamlined Body,1863679.251393, 0.000000,0.003990, 1.000000,0.013238, 0.000083, 0.066875 
[B] Box,11.506658, 10.250317, 29.839320,1.009466, Hoerner Streamlined Body,8487150.406233, 0.000000,0.003084, 1.000000,0.035823, 0.000224, 0.180974 
[B] Box,11.502140, 10.250000, 29.853884,1.009459, Hoerner Streamlined Body,8486888.209687, 0.000000,0.003084, 1.000000,0.035809, 0.000224, 0.180903 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 19.794481, 0.123807, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 19.794481, 0.123807, 100.000000 
