WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

4.179200461819400e+02             Total Mass
1.003442428325704e+01 2.506759137266815e-03 -6.437741754150651e-01       Center of Gravity
6.871372097202200e+03 1.478374399753322e+04 1.856556455045331e+04       Ixx, Iyy, Izz
-7.846540916311837e-01 6.485539683206687e+01 4.697867326055959e+00       Ixy, Ixz, Iyz
4.182721826893976e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuel Cell	3.972446305836911e+00	8.470336613312393e+00	-3.043478260869527e+00	-3.695652173912968e+00	8.545586655619534e+00	3.692698790587453e+00	1.218626005159611e+01	-3.004357793036582e-03	-2.767496909676070e-04	5.161629313350440e-03	3.972446305836911e+00
Cargo	2.291559465540869e+01	1.478883449692695e+01	-3.055274826738956e-16	5.134814602508215e-01	1.795929227062890e+01	5.996336464920185e+01	5.941587304061340e+01	-3.367233060644952e-02	-4.494099578309481e+00	6.586435527605546e-02	2.291559465540869e+01
Engine	1.731225379343481e+01	2.606727139227663e+00	1.970936924694339e-15	-1.568162223299448e-17	1.740889087050019e+01	1.981665420626536e+01	2.407292409210350e+01	-2.773272949977568e-02	-5.032055994360509e-03	4.219264239632705e-02	1.731225379343481e+01
OtherPlaceholder	9.020937652438396e-01	2.200174309197022e+01	-3.663459248179242e-17	5.434782608695651e-01	1.641035576372541e-01	1.483991105314289e-01	1.584460544910704e-01	-1.359879129414041e-03	-2.005042605479186e-04	1.462080729620938e-03	9.020937652438396e-01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	4.179200461819400e+02	1.003442428325704e+01	2.506759137266815e-03	-6.437741754150651e-01	6.871372097202200e+03	1.478374399753322e+04	1.856556455045331e+04	-7.846540916311837e-01	6.485539683206687e+01	4.697867326055959e+00	4.182721826893976e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
100 Num Slice

