WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

3.525270143430325e+05             Total Mass
1.071134949357679e+02 1.300664493562413e-07 -3.882635284774068e+00       Center of Gravity
2.837036318186080e+08 4.596758273305705e+08 7.165024471132437e+08       Ixx, Iyy, Izz
-5.871781921405172e+03 3.698024200793964e+07 5.755585265506628e+03       Ixy, Ixz, Iyz
8.839850441076839e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	3.525270143430325e+05	1.071134949357679e+02	1.300664493562413e-07	-3.882635284774068e+00	2.837036318186080e+08	4.596758273305705e+08	7.165024471132437e+08	-5.871781921405172e+03	3.698024200793964e+07	5.755585265506628e+03	8.839850441076839e+04

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
200 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.854913823052277e-01	1.909173671273712e+00	5.854913823052280e-01	-1.535377086789025e-16	-2.811059483248984e-17	6.997381814210284e-01	8.574676110013298e-01	9.330456330880101e-01	7.654768405222882e-04	-9.151550530744861e-04	2.203191108465643e-02	2.107720988379016e+00
1.756474146915683e+00	1.994707419921414e+01	1.644397085318465e+00	-6.129149136976983e-16	-1.618062586541768e-16	5.211736683711283e+01	3.525523517534756e+01	3.299316455370041e+01	-3.106267949407277e-01	-5.309630288876440e-02	3.744875143563169e-01	2.202149944713419e+01
2.927456911526138e+00	6.340540031367770e+01	2.523811647419583e+00	4.958238131560890e-17	-1.313397348718810e-16	3.430049543125354e+02	2.287857215855350e+02	2.001936904917851e+02	-1.145842548124257e+00	-1.837824132482774e-01	1.145850536360450e+00	6.999933794841880e+01
4.098439676136594e+00	1.289242716284216e+02	3.324032194559380e+00	1.637823947363404e-16	-7.824380394481566e-17	1.000873760900178e+03	6.909573710653850e+02	5.931118917069903e+02	-2.480582926060815e+00	-3.911329164611425e-01	2.417713016517592e+00	1.423319404155683e+02
