WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

8.097300324758341e+05             Total Mass
1.016522547644656e+02 -4.430811818774554e-08 -3.367774802779590e+00       Center of Gravity
1.012160864194527e+09 8.637142515025806e+08 1.839615569215360e+09       Ixx, Iyy, Izz
-1.344245317677947e+04 4.873639585950907e+06 1.335719797631728e+04       Ixy, Ixz, Iyz
8.839851031977209e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.562168131899663e+01	7.646518619656179e+04	2.906667170906245e+01	-7.752814291900924e-15	2.603586446263426e+00	3.113271469261033e+06	8.156786383583594e+06	7.258253174656713e+06	-1.593530627801792e+03	-3.767608861353672e+05	1.515567871307943e+03	1.829567129895699e+04
5.679266408360709e+01	7.723085074095309e+04	2.934154644002281e+01	-7.473537094903698e-15	2.592371145369474e+00	3.153426039293060e+06	8.762858813338190e+06	7.858281848925159e+06	-1.609439264294878e+03	-4.005407011713937e+05	1.529183683669544e+03	1.878502833441979e+04
5.796364684821754e+01	7.799651528534439e+04	2.962251960130306e+01	-7.229754554438073e-15	2.581376037857694e+00	3.193561544161638e+06	9.407251395165000e+06	8.496649717832770e+06	-1.625348383606154e+03	-4.248480509197902e+05	1.542811880865097e+03	1.927438536988258e+04
5.913462961282800e+01	7.876217982973569e+04	2.990941334033944e+01	-6.971902186157843e-15	2.570594702082596e+00	3.233678662667395e+06	1.009091571005442e+07	9.174307938025314e+06	-1.641268832475869e+03	-4.496675345485831e+05	1.556446771500118e+03	1.976374240534538e+04
6.030561237743845e+01	7.952651346809209e+04	3.020155285946415e+01	-6.667986156119462e-15	2.559916837362458e+00	3.273615421222511e+06	1.081347022924249e+07	9.890932306736076e+06	-1.657033155181201e+03	-4.752336650336825e+05	1.570096303932222e+03	2.025175296956571e+04
6.147659514204891e+01	8.028944141585880e+04	3.049873519632202e+01	-6.437602751558699e-15	2.549339977064577e+00	3.313362525650255e+06	1.157563796086634e+07	1.064724845293020e+07	-1.672672890909283e+03	-5.015429217314057e+05	1.583681708418356e+03	2.073834140336873e+04
6.264757790665936e+01	8.105086881839398e+04	3.080075552203006e+01	-6.168332316971430e-15	2.538859909709999e+00	3.352908721451285e+06	1.237809306116684e+07	1.144393193195752e+07	-1.688143061240044e+03	-5.285967546957220e+05	1.597320669130921e+03	2.122341174276893e+04
6.381856067126981e+01	8.180875863233987e+04	3.110663790699481e+01	-5.903794280496190e-15	2.528310773832154e+00	3.392014859778756e+06	1.321924412349019e+07	1.227947704937666e+07	-1.703495461534713e+03	-5.568300603217448e+05	1.610853091173552e+03	2.170490312078625e+04
6.498954343588026e+01	8.256295067075170e+04	3.141614982947999e+01	-5.681334224112780e-15	2.517701315384218e+00	3.430664268468568e+06	1.409944523545012e+07	1.315423985213842e+07	-1.718701452716018e+03	-5.862411102232303e+05	1.624299566111324e+03	2.218265347705811e+04
6.616052620049072e+01	8.331324018659731e+04	3.172904537006133e+01	-5.485713273545180e-15	2.507034642723410e+00	3.468837172918508e+06	1.501895338417858e+07	1.406847646274710e+07	-1.733747631837748e+03	-6.168420175534349e+05	1.637702863210229e+03	2.265645566999561e+04
6.733150896510118e+01	8.406139721034757e+04	3.204591178063023e+01	-8.936869923080452e-09	2.495911325793708e+00	3.506855461465883e+06	1.598059882306366e+07	1.502502755016915e+07	-1.748729334243861e+03	-6.498380185401156e+05	1.650961003023287e+03	2.312556438457139e+04
6.850249172971164e+01	8.485358689513204e+04	3.238626894919495e+01	-8.853435592578764e-09	2.479500610669269e+00	3.552193623694539e+06	1.704893546722094e+07	1.608859273665650e+07	-1.763902834488917e+03	-7.001325869592815e+05	1.664928240689023e+03	2.359522332951046e+04
6.967347449432209e+01	8.571871043387633e+04	3.276259331347691e+01	-8.764081568042257e-09	2.455095131542923e+00	3.610736278006422e+06	1.827050406332390e+07	1.730740637390388e+07	-1.780199430693991e+03	-7.773530427220729e+05	1.680235371860307e+03	2.406864214399770e+04
7.084445725893254e+01	8.667562521425459e+04	3.318302406760976e+01	-2.211405675821689e-08	2.421159098772328e+00	3.687630456721937e+06	1.968066013586849e+07	1.871953918881661e+07	-1.797861856950060e+03	-8.881343037096617e+05	1.697556192581421e+03	2.454784051416489e+04
7.201544002354299e+01	8.774115508652685e+04	3.365460549564956e+01	-2.184550387407571e-08	2.376626457628315e+00	3.788337316302973e+06	2.131339013612304e+07	2.036264493351009e+07	-1.817858704629219e+03	-1.038026574723545e+06	1.716839641460916e+03	2.503457721935540e+04
7.318642278815345e+01	8.892888564071254e+04	3.418259082822751e+01	-2.155373623974870e-08	2.320893986064235e+00	3.918469997356756e+06	2.319853701900647e+07	2.227101465355216e+07	-1.840503624641860e+03	-1.231342110176551e+06	1.738103368965357e+03	2.553023377162332e+04
7.435740555276391e+01	9.024990488142264e+04	3.477064356149985e+01	-2.123824534126774e-08	2.253816636010213e+00	4.083818951830477e+06	2.536182515844049e+07	2.447570398077769e+07	-1.865759537487100e+03	-1.470993637414347e+06	1.761986951712838e+03	2.603619911331391e+04
7.552838831737436e+01	9.194788363589448e+04	3.552330672174961e+01	-2.084604392945835e-08	2.157026244763637e+00	4.338042814266406e+06	2.821383768401972e+07	2.741605155562316e+07	-1.890593978621597e+03	-1.827030342364350e+06	1.790396141619815e+03	2.655372905467111e+04
7.669937108198482e+01	9.589641078233856e+04	3.721872792243592e+01	-1.998770356184824e-08	1.806780498311468e+00	7.196041138824448e+06	3.500428878660255e+07	3.632376027234438e+07	-1.965530788858794e+03	-3.153091235827518e+06	1.863243042386293e+03	2.726310107310939e+04
7.787035384659528e+01	1.006811296097121e+05	3.915063512964327e+01	-1.903780988343992e-08	1.428420580427656e+00	1.023312242707767e+07	4.292289421297678e+07	4.650745148004361e+07	-2.053917088632390e+03	-4.628083637401048e+06	1.948185947774393e+03	2.798602778028876e+04
7.904133661120574e+01	1.063118739542657e+05	4.126342209701690e+01	-1.802947977222994e-08	1.034304061073962e+00	1.346031610908789e+07	5.180291748226985e+07	5.782876173010132e+07	-2.155278999567116e+03	-6.210967516923810e+06	2.052387907817842e+03	2.872307793398984e+04
8.021231937581619e+01	1.128145794219869e+05	4.350846177712040e+01	-1.699024464765513e-08	6.345044622009554e-01	1.689398843115531e+07	6.149391785130018e+07	7.016735636560741e+07	-2.271106262671649e+03	-7.866449278807659e+06	2.167402973207948e+03	2.947488780308554e+04
8.138330214042664e+01	1.201942340157474e+05	4.583389146152921e+01	-1.594707796877015e-08	2.386886272140083e-01	2.055173927096055e+07	7.181895668518135e+07	8.337663552272651e+07	-2.401518119915719e+03	-9.557726935656840e+06	2.298608126442167e+03	3.024242549481473e+04
8.255428490503709e+01	1.284500189485689e+05	4.819399754325450e+01	-1.492212844778915e-08	-1.455191074105791e-01	2.445468276425596e+07	8.261336894185419e+07	9.732291550286308e+07	-2.551417211942266e+03	-1.125348292569923e+07	2.445330620372871e+03	3.102574271137376e+04
8.372526766964755e+01	1.375795603581728e+05	5.055179110728579e+01	-1.393192984600203e-08	-5.126432299496255e-01	2.862792286512883e+07	9.373793607610594e+07	1.118987079247158e+08	-2.711141453044249e+03	-1.292906072133719e+07	2.606338281970094e+03	3.182509091520413e+04
8.489625043425801e+01	1.475808714825645e+05	5.287925820839100e+01	-1.318718065838728e-08	-8.590514332511605e-01	3.310033186737426e+07	1.050828590985184e+08	1.270269171763386e+08	-2.888116521260727e+03	-1.456590080476111e+07	2.787619028863139e+03	3.264155753822427e+04
8.606723319886846e+01	1.581696769342795e+05	5.510105582043599e+01	-1.230435823048811e-08	-1.175521920904628e+00	3.789579247940292e+07	1.162904102566678e+08	1.423852070624889e+08	-3.079693667257032e+03	-1.611597536482949e+07	2.971691051785903e+03	3.347460558367328e+04
8.723821596347892e+01	1.688544585236385e+05	5.713463278389203e+01	-1.152576412961224e-08	-1.453274133092644e+00	4.303609682722069e+07	1.269251906133521e+08	1.575706843315018e+08	-3.268169098705890e+03	-1.752785482366345e+07	3.160565982365846e+03	3.432392250244559e+04
8.840919872808938e+01	1.796162316698214e+05	5.900846000322431e+01	-1.083519637526789e-08	-1.697961127573972e+00	4.853971623087392e+07	1.370943685276569e+08	1.727020749438506e+08	-3.464245631847338e+03	-1.882004133208365e+07	3.348289848309714e+03	3.518799120221550e+04
