WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

2.597653153196767e+03             Total Mass
9.378922609375275e+00 2.135307446674635e-03 -6.316986384256700e-01       Center of Gravity
3.758748869713051e+04 1.086185813258229e+05 1.267245473522419e+05       Ixx, Iyy, Izz
-3.896720937915323e+00 2.667743321282810e+03 2.699802864163755e+01       Ixy, Ixz, Iyz
4.182718188838870e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuel Cell	1.110095446802370e+02	8.470354280427360e+00	3.043500000000026e+00	-3.695700000000036e+00	2.388415629773700e+02	1.031930696229904e+02	3.405795059129027e+02	-9.283977620315462e-02	-8.670745905310013e-03	1.561981208721934e-01	3.972429582402571e+00
Fuel Cell	1.110095446802375e+02	8.470354280427317e+00	-3.043500000000007e+00	-3.695700000000023e+00	2.388539943022846e+02	1.031919736170890e+02	3.405930332437170e+02	-7.924502328686789e-02	-5.681527928659538e-03	1.569975622857707e-01	3.972429582402564e+00
Cargo	1.199985323678564e+02	1.478883589736775e+01	-6.921631322552585e-16	5.134690848130111e-01	9.404416782115020e+01	3.140087104606141e+02	3.111415649242500e+02	-1.761869341165206e-01	-2.353062626356111e+01	3.453062593238588e-01	2.291535201616559e+01
Engine	5.178697682568423e+02	2.606733510973622e+00	-2.039221334491173e-15	-3.321591458348031e-17	5.207617312507516e+02	5.927849331882010e+02	7.201093799570256e+02	-8.295696639028717e-01	-1.505257884220197e-01	1.262052449690312e+00	1.731230044919100e+01
OtherPlaceholder	2.621624846022706e+02	2.200178682531995e+01	-8.940861101068312e-17	5.434799999999970e-01	4.769102978264601e+01	4.312720023803089e+01	4.604692150691132e+01	-3.951922744227698e-01	-5.823728893620489e-02	4.245834836686367e-01	9.020955029928581e-01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	2.597653153196767e+03	9.378922609375275e+00	2.135307446674635e-03	-6.316986384256700e-01	3.758748869713051e+04	1.086185813258229e+05	1.267245473522419e+05	-3.896720937915323e+00	2.667743321282810e+03	2.699802864163755e+01	4.182718188838870e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
100 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
